Token,Patron,Lexema,Linea,Columna
OTHERS,,,,,0,1,
LEXICAL_ERROR_unknow_lexeme,.,.,0,3,
OTHERS,(,(,0,5,
OTHERS,),),0,7,
ASSIGNAMENT,**=,**=,0,9,
ASSIGNAMENT,+=,+=,0,13,
ASSIGNAMENT,%=,%=,0,16,
ASSIGNAMENT,=,=,0,19,
CONSTANT,[0 - 9]+  | ( [ 0 - 9]+ . [ 0 - 9] +  | [ 0 - 9]+ . [ 0 - 9] + f),10,0,21,
CONSTANT,[0 - 9]+  | ( [ 0 - 9]+ . [ 0 - 9] +  | [ 0 - 9]+ . [ 0 - 9] + f),31.2f,0,24,
CONSTANT,[0 - 9]+  | ( [ 0 - 9]+ . [ 0 - 9] +  | [ 0 - 9]+ . [ 0 - 9] + f),20.2,0,30,
LEXICAL_ERROR_unknow_lexeme,20.0.36.6,20.0.36.6,0,36,
CONSTANT,[a-z|A-Z|0-9|]+,"esto es un texto",1,2,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,int,1,21,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,double,1,25,
KEYWORD,def,def,2,2,
KEYWORD,class,class,2,6,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,enum,2,12,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,INT,2,17,
ARITHMETIC,+,+,3,3,
ARITHMETIC,-,-,3,5,
ARITHMETIC,*,*,3,7,
KEYWORD,and,and,4,2,
ASSIGNAMENT,=,=,4,7,
KEYWORD,True,True,4,9,
IDENTIFIER,[ a-z | A-Z | _ ]+ [ a-z | A-Z | 0-9 | _ ]*,false,4,14,
LEXICAL_ERROR_unknow_lexeme,$dentifie,$dentifie,4,20,
LEXICAL_ERROR_unknow_lexeme,1ero,1ero,4,30,
COMMENT,# [.*] 
,#Esto es un comentario siguesiendocomentariooo + - ,5,2,